s0,s1,s2a,s2b
0.50667,0.43425,0.03783,0.02124
0.40610,0.40741,0.16656,0.01993
0.43034,0.51751,0.02683,0.02532
0.20577,0.74876,0.00884,0.03663
0.46237,0.35657,0.16362,0.01744
0.97482,0.01486,0.00960,0.00073
0.50289,0.37297,0.10589,0.01825
0.53390,0.29092,0.16094,0.01423
0.42677,0.52460,0.02297,0.02567
0.04507,0.83639,0.07762,0.04092
0.24457,0.51999,0.21000,0.02544
0.97514,0.01456,0.00959,0.00071
0.03416,0.87929,0.04354,0.04302
0.84020,0.10110,0.05375,0.00495
0.91268,0.07463,0.00903,0.00365
0.96753,0.02019,0.01129,0.00099
0.88835,0.09669,0.01023,0.00473
0.85667,0.12563,0.01156,0.00615
0.98514,0.00752,0.00697,0.00037
0.92797,0.05210,0.01738,0.00255
0.58922,0.24372,0.15514,0.01192
0.97489,0.01480,0.00959,0.00072
0.58517,0.36276,0.03433,0.01775
0.47442,0.46720,0.03553,0.02286
0.86247,0.08558,0.04776,0.00419
0.01386,0.93782,0.00244,0.04588
0.93288,0.04801,0.01675,0.00235
0.86626,0.09280,0.03641,0.00454
0.49432,0.43770,0.04657,0.02141
0.29176,0.60295,0.07579,0.02950
0.42561,0.45037,0.10198,0.02203
0.03762,0.90331,0.01487,0.04419
0.82214,0.11686,0.05527,0.00572
0.46703,0.35714,0.15836,0.01747
0.96799,0.01990,0.01114,0.00097
0.95855,0.02721,0.01292,0.00133
0.95812,0.02761,0.01292,0.00135
0.95855,0.02721,0.01292,0.00133
0.96202,0.02382,0.01300,0.00117
0.76895,0.20650,0.01445,0.01010
0.95855,0.02721,0.01292,0.00133
0.54531,0.33331,0.10507,0.01631
0.00654,0.93283,0.01499,0.04564
0.17950,0.72147,0.06374,0.03530
0.95855,0.02721,0.01292,0.00133
0.97430,0.01512,0.00983,0.00074
0.97443,0.01508,0.00975,0.00074
0.41231,0.52434,0.03770,0.02565
0.92780,0.05224,0.01740,0.00256
0.20401,0.74561,0.01390,0.03648
0.76874,0.19173,0.03015,0.00938
0.95771,0.02785,0.01308,0.00136
0.97513,0.01456,0.00959,0.00071
0.86209,0.11975,0.01230,0.00586
0.95748,0.02804,0.01310,0.00137
0.85842,0.12394,0.01158,0.00606
0.96796,0.01992,0.01114,0.00097
0.80595,0.15035,0.03635,0.00736
0.85845,0.08861,0.04861,0.00433
0.95853,0.02722,0.01292,0.00133
0.95852,0.02723,0.01292,0.00133
0.95707,0.02828,0.01327,0.00138
0.82718,0.11344,0.05383,0.00555
0.12466,0.82581,0.00913,0.04040
0.83231,0.12766,0.03378,0.00625
0.28084,0.62935,0.05901,0.03079
0.95855,0.02721,0.01292,0.00133
0.93039,0.04985,0.01733,0.00244
0.22056,0.71128,0.03335,0.03480
0.62189,0.33574,0.02595,0.01643
0.81835,0.11931,0.05651,0.00584
0.88340,0.06838,0.04488,0.00335
0.89134,0.09379,0.01028,0.00459
0.96819,0.01991,0.01093,0.00097
0.70779,0.21317,0.06861,0.01043
0.05984,0.88766,0.00908,0.04343
0.82086,0.11761,0.05577,0.00575
0.19605,0.72487,0.04362,0.03546
0.95852,0.02723,0.01292,0.00133
0.60022,0.34609,0.03676,0.01693
0.01341,0.92972,0.01139,0.04549
0.95853,0.02722,0.01292,0.00133
0.85161,0.13036,0.01165,0.00638
0.85492,0.12731,0.01153,0.00623
0.11105,0.78059,0.07018,0.03819
0.16012,0.78987,0.01137,0.03864
0.97427,0.01515,0.00984,0.00074
0.92861,0.05148,0.01739,0.00252
0.92952,0.05102,0.01696,0.00250
0.95849,0.02726,0.01292,0.00133
0.95854,0.02721,0.01292,0.00133
0.86293,0.08523,0.04766,0.00417
0.43849,0.49782,0.03933,0.02435
0.95855,0.02721,0.01292,0.00133
0.62229,0.32390,0.03797,0.01585
0.82521,0.11484,0.05433,0.00562
0.85239,0.11182,0.03032,0.00547
0.54280,0.34205,0.09841,0.01673
0.81945,0.15978,0.01295,0.00782
0.19227,0.61542,0.16221,0.03011
0.44502,0.49597,0.03475,0.02426
0.21120,0.73862,0.01404,0.03614
0.07289,0.87471,0.00961,0.04279
0.83228,0.10967,0.05269,0.00537
0.97514,0.01456,0.00959,0.00071
0.97483,0.01485,0.00960,0.00073
0.01258,0.93677,0.00481,0.04583
0.85946,0.12280,0.01174,0.00601
0.97513,0.01456,0.00959,0.00071
0.04333,0.89578,0.01706,0.04382
0.82121,0.15827,0.01277,0.00774
0.25350,0.64064,0.07452,0.03134
0.95862,0.02714,0.01291,0.00133
0.96763,0.02019,0.01119,0.00099
0.91466,0.07264,0.00915,0.00355
0.53822,0.40639,0.03551,0.01988
0.91615,0.07134,0.00902,0.00349
0.48444,0.34736,0.15120,0.01699
0.05197,0.89463,0.00963,0.04377
0.97514,0.01456,0.00959,0.00071
0.95780,0.02778,0.01306,0.00136
0.85381,0.09163,0.05008,0.00448
0.54861,0.39504,0.03702,0.01933
0.27041,0.68026,0.01605,0.03328
0.97513,0.01456,0.00959,0.00071
0.55109,0.42046,0.00788,0.02057
0.55513,0.39460,0.03096,0.01931
0.88082,0.08232,0.03284,0.00403
0.95853,0.02722,0.01292,0.00133
0.92915,0.03590,0.03320,0.00176
0.73868,0.18608,0.06614,0.00910
0.79577,0.13450,0.06315,0.00658
0.95853,0.02722,0.01292,0.00133
0.56040,0.30790,0.11664,0.01506
0.33119,0.51295,0.13076,0.02510
0.83214,0.12676,0.03489,0.00620
0.60669,0.35142,0.02470,0.01719
0.85960,0.12281,0.01159,0.00601
0.40849,0.52861,0.03704,0.02586
0.58334,0.27678,0.12634,0.01354
0.17863,0.76537,0.01856,0.03744
0.95739,0.02797,0.01327,0.00137
0.42537,0.50051,0.04963,0.02449
0.82774,0.11471,0.05194,0.00561
0.95854,0.02721,0.01292,0.00133
0.95862,0.02715,0.01291,0.00133
0.92575,0.03762,0.03479,0.00184
0.95853,0.02722,0.01292,0.00133
0.97514,0.01456,0.00959,0.00071
0.95854,0.02721,0.01292,0.00133
0.94004,0.05065,0.00684,0.00248
0.95434,0.03116,0.01298,0.00152
0.26141,0.70165,0.00261,0.03433
0.84830,0.13316,0.01203,0.00651
0.60681,0.34017,0.03639,0.01664
0.33357,0.45716,0.18691,0.02237
0.12105,0.83397,0.00417,0.04080
0.88127,0.07051,0.04477,0.00345
0.95854,0.02721,0.01292,0.00133
0.47277,0.34909,0.16106,0.01708
0.95854,0.02721,0.01292,0.00133
0.82486,0.11680,0.05263,0.00571
0.86537,0.08043,0.05026,0.00394
0.95710,0.02826,0.01326,0.00138
0.47544,0.34719,0.16038,0.01699
0.95850,0.02725,0.01292,0.00133
0.91665,0.07073,0.00916,0.00346
0.19471,0.72732,0.04239,0.03558
0.54044,0.33934,0.10363,0.01660
0.05548,0.89142,0.00949,0.04361
0.97443,0.01509,0.00975,0.00074
0.95762,0.02809,0.01291,0.00137
0.97474,0.01480,0.00974,0.00072
0.86547,0.08036,0.05024,0.00393
0.82630,0.11581,0.05222,0.00567
0.06283,0.70415,0.19858,0.03445
0.97513,0.01456,0.00959,0.00071
0.95776,0.02773,0.01315,0.00136
0.95862,0.02715,0.01291,0.00133
0.85692,0.10729,0.03054,0.00525
0.46386,0.47626,0.03658,0.02330
0.52756,0.41473,0.03742,0.02029
0.95853,0.02722,0.01292,0.00133
0.80194,0.17621,0.01323,0.00862
0.88929,0.09571,0.01032,0.00468
0.95854,0.02721,0.01292,0.00133
0.95862,0.02715,0.01291,0.00133
0.96796,0.01992,0.01114,0.00097
0.93234,0.04811,0.01720,0.00235
0.15310,0.77779,0.03105,0.03805
0.85518,0.12707,0.01153,0.00622
0.25264,0.52206,0.19976,0.02554
0.97514,0.01456,0.00959,0.00071
0.03885,0.61880,0.31207,0.03027
0.88210,0.06909,0.04543,0.00338
0.95851,0.02723,0.01292,0.00133
0.97451,0.01502,0.00973,0.00073
0.77633,0.19996,0.01392,0.00978
0.35276,0.60951,0.00792,0.02982
0.95855,0.02721,0.01292,0.00133
0.19540,0.73093,0.03791,0.03576
0.02864,0.74791,0.18686,0.03659
0.97490,0.01478,0.00959,0.00072
0.56957,0.37540,0.03666,0.01837
0.54052,0.40211,0.03770,0.01967
0.38538,0.43718,0.15606,0.02139
0.52211,0.42090,0.03639,0.02059
0.88370,0.06820,0.04477,0.00334
0.95855,0.02721,0.01292,0.00133
0.18373,0.74008,0.03999,0.03621
0.98514,0.00752,0.00697,0.00037
0.05862,0.89570,0.00185,0.04382
0.81854,0.11917,0.05646,0.00583
0.95780,0.02778,0.01306,0.00136
0.95780,0.02778,0.01306,0.00136
0.94848,0.03674,0.01298,0.00180
0.82608,0.11418,0.05415,0.00559
0.95855,0.02721,0.01292,0.00133
0.82117,0.12822,0.04434,0.00627
0.07338,0.87843,0.00521,0.04298
0.81710,0.12009,0.05693,0.00588
0.82194,0.15749,0.01287,0.00770
0.07222,0.88356,0.00099,0.04323
0.88345,0.06834,0.04486,0.00334
0.45981,0.48025,0.03645,0.02350
0.81395,0.16508,0.01290,0.00808
0.56649,0.40561,0.00806,0.01984
0.81841,0.11927,0.05648,0.00584
0.94116,0.03968,0.01722,0.00194
0.60158,0.35933,0.02151,0.01758
0.38694,0.47355,0.11634,0.02317
0.00900,0.88030,0.06762,0.04307
0.16811,0.73304,0.06298,0.03586
0.85399,0.12823,0.01151,0.00627
0.04256,0.87279,0.04195,0.04270
0.85407,0.09077,0.05072,0.00444
0.81889,0.11892,0.05638,0.00582
0.82053,0.11792,0.05579,0.00577
0.06521,0.88352,0.00805,0.04322
0.81995,0.15774,0.01460,0.00772
0.66921,0.28245,0.03453,0.01382
0.42468,0.39844,0.15738,0.01949
0.95855,0.02721,0.01292,0.00133
0.95855,0.02721,0.01292,0.00133
0.80993,0.12658,0.05730,0.00619
0.85578,0.12648,0.01155,0.00619
0.19567,0.75350,0.01397,0.03686
0.95855,0.02721,0.01292,0.00133
0.51534,0.39914,0.06600,0.01953
0.95852,0.02723,0.01292,0.00133
0.86040,0.12139,0.01227,0.00594
0.23377,0.66409,0.06965,0.03249
0.97487,0.01481,0.00959,0.00072
0.08476,0.74769,0.13098,0.03658
0.12379,0.82171,0.01430,0.04020
0.76106,0.16805,0.06266,0.00822
0.18342,0.76644,0.01264,0.03750
0.90897,0.07836,0.00883,0.00383
0.97483,0.01485,0.00960,0.00073
0.84763,0.13488,0.01089,0.00660
0.84816,0.13328,0.01204,0.00652
0.85492,0.09033,0.05033,0.00442
0.19063,0.70329,0.07166,0.03441
0.55588,0.38788,0.03726,0.01898
0.80879,0.12749,0.05748,0.00624
0.58084,0.39196,0.00803,0.01918
0.53284,0.40801,0.03920,0.01996
0.97488,0.01493,0.00946,0.00073
0.03328,0.92023,0.00147,0.04502
0.97489,0.01480,0.00959,0.00072
0.34963,0.47228,0.15499,0.02311
0.54888,0.28273,0.15455,0.01383
0.97490,0.01479,0.00959,0.00072
0.73158,0.19430,0.06462,0.00951
0.94582,0.03740,0.01495,0.00183
0.93505,0.04528,0.01746,0.00222
0.93028,0.05011,0.01717,0.00245
0.83944,0.10534,0.05007,0.00515
0.54121,0.40422,0.03480,0.01978
0.93028,0.05011,0.01717,0.00245
0.96763,0.02019,0.01119,0.00099
0.78349,0.17387,0.03413,0.00851
0.95862,0.02714,0.01291,0.00133
0.78837,0.14577,0.05873,0.00713
0.94624,0.03702,0.01493,0.00181
0.60028,0.36013,0.02198,0.01762
0.18371,0.72768,0.05301,0.03560
0.85717,0.10728,0.03031,0.00525
0.04624,0.90047,0.00924,0.04405
0.90747,0.06926,0.01988,0.00339
0.01101,0.88429,0.06144,0.04326
0.82664,0.11529,0.05243,0.00564
0.55792,0.38768,0.03543,0.01897
0.00854,0.94281,0.00252,0.04613
0.79624,0.14004,0.05687,0.00685
0.95771,0.02785,0.01308,0.00136
0.95854,0.02721,0.01292,0.00133
0.92715,0.05036,0.02003,0.00246
0.63339,0.34250,0.00735,0.01676
0.88082,0.07036,0.04538,0.00344
0.97411,0.01533,0.00980,0.00075
0.95854,0.02721,0.01292,0.00133
0.94463,0.03855,0.01494,0.00189
0.97512,0.01457,0.00959,0.00071
0.96750,0.02028,0.01123,0.00099
0.97460,0.01498,0.00968,0.00073
0.49310,0.46390,0.02031,0.02270
0.95862,0.02715,0.01291,0.00133
0.80073,0.11879,0.07467,0.00581
0.34600,0.43145,0.20143,0.02111
0.91327,0.06449,0.01909,0.00315
0.50721,0.45006,0.02071,0.02202
0.95511,0.02949,0.01395,0.00144
0.00177,0.94232,0.00981,0.04610
0.44390,0.51051,0.02061,0.02498
0.95850,0.02725,0.01292,0.00133
0.96791,0.01996,0.01115,0.00098
0.95855,0.02721,0.01292,0.00133
0.95862,0.02714,0.01291,0.00133
0.23376,0.66366,0.07011,0.03247
0.97460,0.01498,0.00968,0.00073
0.84863,0.13316,0.01170,0.00651
0.97489,0.01480,0.00959,0.00072
0.83175,0.12777,0.03423,0.00625
0.56976,0.40286,0.00768,0.01971
0.95862,0.02714,0.01291,0.00133
0.15221,0.75384,0.05707,0.03688
0.84691,0.13486,0.01163,0.00660
0.16222,0.73935,0.06225,0.03617
0.96709,0.02059,0.01131,0.00101
0.84815,0.09603,0.05111,0.00470
0.81127,0.11165,0.07162,0.00546
0.95862,0.02714,0.01291,0.00133
0.97444,0.01508,0.00974,0.00074
0.95853,0.02722,0.01292,0.00133
0.97429,0.01513,0.00984,0.00074
0.24427,0.71358,0.00724,0.03491
0.95850,0.02724,0.01292,0.00133
0.95862,0.02714,0.01291,0.00133
0.96720,0.02050,0.01130,0.00100
0.04908,0.85680,0.05221,0.04192
0.86433,0.11797,0.01193,0.00577
0.81969,0.11952,0.05495,0.00585
0.95817,0.02757,0.01291,0.00135
0.70274,0.22045,0.06602,0.01079
0.69536,0.28356,0.00721,0.01387
0.45169,0.42069,0.10704,0.02058
0.85490,0.09033,0.05035,0.00442
0.95855,0.02721,0.01292,0.00133
0.69343,0.27989,0.01298,0.01369
0.85293,0.09201,0.05056,0.00450
0.19229,0.75736,0.01330,0.03705
0.96797,0.01992,0.01114,0.00097
0.85819,0.12416,0.01157,0.00607
0.00793,0.88813,0.06049,0.04345
0.81712,0.12008,0.05693,0.00587
0.28614,0.60789,0.07624,0.02974
0.95771,0.02785,0.01308,0.00136
0.95855,0.02721,0.01292,0.00133
0.95780,0.02778,0.01306,0.00136
0.97514,0.01456,0.00959,0.00071
0.91501,0.07231,0.00914,0.00354
0.04687,0.89376,0.01564,0.04373
0.91830,0.06927,0.00904,0.00339
0.67244,0.27926,0.03463,0.01366
0.02541,0.74806,0.18993,0.03660
0.05210,0.87243,0.03279,0.04268
0.95854,0.02721,0.01292,0.00133
0.96797,0.01991,0.01114,0.00097
0.85787,0.08846,0.04934,0.00433
0.14391,0.64611,0.17837,0.03161
0.51383,0.42552,0.03983,0.02082
0.95855,0.02721,0.01292,0.00133
0.01337,0.93693,0.00387,0.04584
0.56927,0.40330,0.00769,0.01973
0.53421,0.40985,0.03589,0.02005
0.97421,0.01530,0.00974,0.00075
0.93507,0.04517,0.01755,0.00221
0.34076,0.62077,0.00810,0.03037
0.53963,0.40342,0.03722,0.01974
0.95855,0.02721,0.01292,0.00133
0.18735,0.76701,0.00811,0.03752
0.62513,0.35032,0.00741,0.01714
0.95852,0.02723,0.01292,0.00133
0.62722,0.32235,0.03466,0.01577
0.72881,0.20488,0.05629,0.01002
0.85819,0.12417,0.01157,0.00607
0.96797,0.01992,0.01114,0.00097
0.85389,0.12831,0.01152,0.00628
0.97514,0.01456,0.00959,0.00071
0.93116,0.04947,0.01695,0.00242
0.94624,0.03702,0.01493,0.00181
0.68741,0.29146,0.00687,0.01426
0.11376,0.79582,0.05149,0.03893
0.98514,0.00752,0.00697,0.00037
0.43950,0.40836,0.13216,0.01998
0.95852,0.02723,0.01293,0.00133
0.97490,0.01479,0.00959,0.00072
0.93001,0.05012,0.01741,0.00245
0.66021,0.29138,0.03416,0.01426
0.69388,0.16298,0.13517,0.00797
0.56416,0.38119,0.03600,0.01865
0.89073,0.09439,0.01026,0.00462
0.95862,0.02715,0.01291,0.00133
0.96719,0.02051,0.01130,0.00100
0.03956,0.87128,0.04653,0.04263
0.21472,0.69959,0.05146,0.03423
0.52717,0.41525,0.03726,0.02032
0.95862,0.02714,0.01291,0.00133
0.46979,0.34905,0.16408,0.01708
0.95747,0.02791,0.01325,0.00137
0.58723,0.35926,0.03594,0.01758
0.95711,0.02825,0.01326,0.00138
0.95854,0.02721,0.01292,0.00133
0.02895,0.91781,0.00833,0.04490
0.34844,0.47582,0.15246,0.02328
0.54347,0.39986,0.03711,0.01956
0.87457,0.07557,0.04617,0.00370
0.86597,0.07994,0.05018,0.00391
0.49709,0.47166,0.00818,0.02307
0.86059,0.12184,0.01161,0.00596
0.96797,0.01991,0.01114,0.00097
0.15053,0.77966,0.03166,0.03814
0.52846,0.29390,0.16326,0.01438
0.97514,0.01456,0.00959,0.00071
0.79619,0.18407,0.01073,0.00901
0.91408,0.07325,0.00909,0.00358
0.26316,0.64545,0.05981,0.03158
0.82095,0.11764,0.05566,0.00576
0.87622,0.09278,0.02646,0.00454
0.82033,0.11797,0.05592,0.00577
0.28028,0.67708,0.00951,0.03312
0.85048,0.11288,0.03112,0.00552
0.48412,0.45524,0.03837,0.02227
0.61267,0.35130,0.01885,0.01719
0.97565,0.01419,0.00946,0.00069
0.97489,0.01480,0.00959,0.00072
0.97464,0.01495,0.00968,0.00073
0.87630,0.09271,0.02645,0.00454
0.85706,0.08896,0.04963,0.00435
0.97476,0.01478,0.00973,0.00072
0.15097,0.75386,0.05829,0.03688
0.96780,0.02008,0.01114,0.00098
0.95710,0.02825,0.01326,0.00138
0.91417,0.07312,0.00914,0.00358
0.95855,0.02721,0.01292,0.00133
0.04110,0.91150,0.00281,0.04459
0.82404,0.11553,0.05478,0.00565
0.88408,0.10077,0.01021,0.00493
0.85898,0.12340,0.01158,0.00604
0.97490,0.01479,0.00959,0.00072
0.96708,0.02060,0.01131,0.00101
0.96734,0.02043,0.01124,0.00100
0.85863,0.12374,0.01158,0.00605
0.95853,0.02722,0.01292,0.00133
0.86101,0.12145,0.01160,0.00594
0.95854,0.02721,0.01292,0.00133
0.46583,0.35394,0.16291,0.01732
0.96719,0.02051,0.01130,0.00100
0.96797,0.01992,0.01114,0.00097
0.85862,0.10628,0.02990,0.00520
0.95854,0.02721,0.01292,0.00133
0.13691,0.67005,0.16027,0.03278
0.93322,0.04704,0.01744,0.00230
0.54159,0.40136,0.03741,0.01964
0.54211,0.40139,0.03686,0.01964
0.30646,0.64575,0.01620,0.03159
0.88352,0.06825,0.04489,0.00334
0.52418,0.41770,0.03769,0.02044
0.92779,0.05227,0.01738,0.00256
0.95854,0.02721,0.01292,0.00133
0.82386,0.11575,0.05473,0.00566
0.82157,0.11723,0.05546,0.00574
0.52296,0.41936,0.03716,0.02052
0.82081,0.11828,0.05512,0.00579
0.04181,0.87033,0.04528,0.04258
0.95855,0.02721,0.01292,0.00133
0.81000,0.12652,0.05729,0.00619
0.88053,0.07001,0.04604,0.00342
0.01288,0.93550,0.00585,0.04577
0.96799,0.01990,0.01114,0.00097
0.07619,0.77628,0.10956,0.03798
0.95852,0.02722,0.01292,0.00133
0.95361,0.03189,0.01294,0.00156
0.73465,0.23766,0.01607,0.01163
0.96709,0.02060,0.01131,0.00101
0.97474,0.01480,0.00974,0.00072
0.57349,0.39924,0.00773,0.01953
0.51961,0.33402,0.13003,0.01634
0.95862,0.02715,0.01291,0.00133
0.22551,0.72457,0.01447,0.03545
0.97514,0.01456,0.00959,0.00071
0.69556,0.28354,0.00703,0.01387
0.96700,0.02053,0.01146,0.00100
0.11297,0.83501,0.01116,0.04085
0.85787,0.08846,0.04934,0.00433
0.46717,0.40164,0.11155,0.01965
0.18546,0.71275,0.06692,0.03487
0.82057,0.11789,0.05578,0.00577
0.55006,0.40631,0.02375,0.01988
0.15239,0.77528,0.03440,0.03793
0.93837,0.04428,0.01518,0.00217
0.93502,0.04521,0.01756,0.00221
0.87995,0.08432,0.03160,0.00413
0.59217,0.38108,0.00811,0.01864
0.92757,0.05224,0.01764,0.00256
0.92865,0.05144,0.01739,0.00252
0.50517,0.43215,0.04154,0.02114
0.87422,0.09429,0.02687,0.00461
0.01161,0.92505,0.01809,0.04526
0.80638,0.13324,0.05386,0.00652
0.64244,0.30534,0.03729,0.01494
0.01751,0.93239,0.00448,0.04562
0.24507,0.68977,0.03141,0.03375
0.81847,0.11920,0.05650,0.00583
0.95854,0.02721,0.01292,0.00133
0.84827,0.13319,0.01203,0.00652
0.81678,0.12077,0.05654,0.00591
0.78610,0.18794,0.01677,0.00919
0.95661,0.02872,0.01326,0.00140
0.88343,0.06831,0.04493,0.00334
0.92864,0.05146,0.01739,0.00252
0.84337,0.13820,0.01167,0.00676
0.56807,0.38514,0.02795,0.01884
0.94209,0.03980,0.01616,0.00195
0.55594,0.40535,0.01888,0.01983
0.95699,0.02835,0.01327,0.00139
0.01008,0.92686,0.01772,0.04534
0.96763,0.02019,0.01119,0.00099
0.96752,0.02031,0.01117,0.00099
0.95209,0.03184,0.01452,0.00156
0.95854,0.02721,0.01292,0.00133
0.96797,0.01992,0.01114,0.00097
0.88773,0.09725,0.01025,0.00476
0.22540,0.72544,0.01367,0.03549
0.44746,0.36582,0.16882,0.01790
0.85120,0.10767,0.03587,0.00527
0.85707,0.12525,0.01155,0.00613
0.97444,0.01508,0.00974,0.00074
0.45449,0.37341,0.15383,0.01827
0.61923,0.32853,0.03616,0.01607
0.93028,0.05011,0.01717,0.00245
0.97476,0.01479,0.00973,0.00072
0.95854,0.02721,0.01292,0.00133
0.49595,0.47290,0.00802,0.02314
0.54698,0.39667,0.03694,0.01941
0.95855,0.02721,0.01292,0.00133
0.31347,0.64746,0.00740,0.03168
0.21008,0.74570,0.00774,0.03648
0.76113,0.16742,0.06326,0.00819
0.95854,0.02721,0.01292,0.00133
0.40142,0.54592,0.02595,0.02671
0.97512,0.01457,0.00959,0.00071
0.24237,0.66293,0.06227,0.03243
0.15905,0.74129,0.06339,0.03627
0.58555,0.38803,0.00743,0.01898
0.77497,0.19904,0.01625,0.00974
0.54764,0.39606,0.03692,0.01938
0.84726,0.11148,0.03581,0.00545
0.85522,0.09118,0.04915,0.00446
0.52366,0.28464,0.17778,0.01393
0.95184,0.03351,0.01301,0.00164
0.85361,0.12829,0.01183,0.00628
0.95851,0.02724,0.01292,0.00133
0.81872,0.12071,0.05467,0.00591
0.77374,0.17005,0.04789,0.00832
0.23867,0.67948,0.04861,0.03324
0.62529,0.25775,0.10434,0.01261
0.87985,0.07109,0.04558,0.00348
0.95852,0.02723,0.01292,0.00133
0.03001,0.90821,0.01734,0.04443
0.84815,0.13328,0.01204,0.00652
0.95780,0.02778,0.01306,0.00136
0.53137,0.35478,0.09650,0.01736
0.96756,0.02030,0.01115,0.00099
0.04671,0.83692,0.07542,0.04095
0.96756,0.02030,0.01115,0.00099
0.85189,0.09245,0.05114,0.00452
0.20119,0.74832,0.01388,0.03661
0.96542,0.02154,0.01199,0.00105
0.97514,0.01456,0.00959,0.00071
0.74170,0.18617,0.06302,0.00911
0.17843,0.72365,0.06251,0.03540
0.65786,0.29193,0.03593,0.01428
0.93740,0.04424,0.01619,0.00216
0.20263,0.71318,0.04930,0.03489
0.92786,0.05221,0.01738,0.00255
0.95855,0.02721,0.01292,0.00133
0.44694,0.49701,0.03173,0.02432
0.95854,0.02721,0.01292,0.00133
0.48802,0.38706,0.10599,0.01894
0.18862,0.71017,0.06646,0.03474
0.26272,0.69554,0.00771,0.03403
0.85009,0.13171,0.01177,0.00644
0.95855,0.02721,0.01292,0.00133
0.95854,0.02721,0.01292,0.00133
0.05896,0.86080,0.03812,0.04211
0.91823,0.06934,0.00904,0.00339
0.85619,0.09000,0.04940,0.00440
0.96779,0.02008,0.01114,0.00098
0.54950,0.28026,0.15653,0.01371
0.95795,0.02761,0.01310,0.00135
0.26164,0.70100,0.00306,0.03430
0.55723,0.41467,0.00782,0.02029
0.88391,0.06770,0.04508,0.00331
0.46506,0.36112,0.15615,0.01767
0.93692,0.04561,0.01524,0.00223
0.71597,0.23279,0.03985,0.01139
0.83637,0.12274,0.03489,0.00600
0.47478,0.41791,0.08686,0.02045
0.47202,0.34707,0.16393,0.01698
0.90953,0.06726,0.01993,0.00329
0.94937,0.03402,0.01495,0.00166
0.95852,0.02723,0.01292,0.00133
0.78881,0.18896,0.01298,0.00924
0.12280,0.80431,0.03355,0.03935
0.51228,0.30653,0.16619,0.01500
0.95813,0.02760,0.01292,0.00135
0.15698,0.79301,0.01122,0.03880
0.81102,0.12528,0.05757,0.00613
0.95332,0.03223,0.01287,0.00158
0.43899,0.42865,0.11139,0.02097
0.90114,0.08526,0.00943,0.00417
0.48355,0.47677,0.01636,0.02333
0.94556,0.04151,0.01090,0.00203
0.96791,0.01996,0.01115,0.00098
0.13925,0.76975,0.05335,0.03766
0.95657,0.02891,0.01310,0.00141
0.95854,0.02721,0.01292,0.00133
0.96767,0.02021,0.01114,0.00099
0.96774,0.02012,0.01115,0.00098
0.96799,0.01990,0.01114,0.00097
0.80996,0.12623,0.05763,0.00618
0.95855,0.02721,0.01292,0.00133
0.81888,0.11892,0.05638,0.00582
0.96768,0.02010,0.01123,0.00098
0.92765,0.05216,0.01763,0.00255
0.13788,0.59424,0.23881,0.02907
0.44246,0.50787,0.02483,0.02485
0.96720,0.02045,0.01134,0.00100
