Site,Partition,&alpha; ,&beta;<sup>-</sup>,p<sup>-</sup>,&beta;<sup>+</sup>,p<sup>+</sup>,LRT,p-value,# branches under selection,Total branch length
32,1,1.46,1.46,0.13,0.00,0.87,0.00,0.67,0.00,12.84
33,1,2.03,0.06,0.01,0.06,0.99,0.00,0.67,0.00,13.54
34,1,2.03,0.05,0.03,0.04,0.97,0.00,0.67,0.00,13.24
35,1,1.06,1.06,0.19,0.00,0.81,0.00,0.67,0.00,10.76
36,1,1.13,1.13,0.18,0.00,0.82,0.00,0.67,0.00,11.34
37,1,1.26,0.46,0.43,0.04,0.57,0.00,0.67,0.00,12.34
38,1,0.89,0.28,0.49,0.00,0.51,0.00,0.67,0.00,8.40
39,1,1.24,0.08,0.00,0.08,1.00,0.00,0.67,0.00,9.13
40,1,10.75,0.04,0.10,0.04,0.90,0.00,0.67,0.00,65.72
41,1,0.53,0.33,0.67,0.00,0.33,0.00,0.67,0.00,8.04
42,1,1.27,0.09,0.00,0.09,1.00,0.00,0.67,0.00,9.70
43,1,0.96,0.41,1.00,0.41,0.00,0.00,0.67,0.00,14.79
44,1,0.71,0.00,0.17,0.00,0.83,0.00,0.67,0.00,4.27
45,1,1.48,0.00,0.02,0.00,0.98,0.00,0.67,0.00,8.97
46,1,2.38,0.03,0.05,0.03,0.95,0.00,0.67,0.00,15.02
47,1,0.61,0.06,0.01,0.01,0.99,0.00,0.67,0.00,4.01
48,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
49,1,1.71,0.00,0.05,0.00,0.95,0.00,0.67,0.00,10.32
50,1,0.55,0.00,0.14,0.00,0.86,0.00,0.67,0.00,3.29
51,1,0.91,0.00,0.18,0.00,0.82,0.00,0.67,0.00,5.48
52,1,0.88,0.12,0.01,0.12,0.99,0.00,0.67,0.00,7.97
53,1,1.10,0.02,0.06,0.02,0.94,0.00,0.67,0.00,7.13
54,1,0.74,0.02,0.05,0.02,0.95,0.00,0.67,0.00,4.84
55,1,1.43,0.00,0.18,0.00,0.82,0.00,0.67,0.00,8.64
56,1,0.74,0.02,0.01,0.02,0.99,0.00,0.67,0.00,4.86
57,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
58,1,0.49,0.49,0.10,0.00,0.90,0.00,0.67,0.00,3.97
59,1,1.41,0.04,0.00,0.04,1.00,0.00,0.67,0.00,9.44
60,1,0.25,0.25,0.07,0.00,0.93,0.00,0.67,0.00,1.92
61,1,1.35,0.02,0.00,0.02,1.00,0.00,0.67,0.00,8.49
62,1,1.26,1.26,0.03,0.00,0.97,0.00,0.67,0.00,8.32
63,1,1.22,0.99,0.12,0.00,0.88,0.00,0.67,0.00,10.09
64,1,0.24,0.00,0.13,0.00,0.87,0.00,0.67,0.00,1.45
65,1,0.42,0.14,0.48,0.00,0.52,0.00,0.67,0.00,3.93
66,1,1.45,0.14,0.00,0.14,1.00,0.00,0.67,0.00,11.83
67,1,22.34,22.34,0.07,0.00,0.93,0.00,0.67,0.00,167.05
68,1,1.37,0.00,0.04,0.00,0.96,0.00,0.67,0.00,8.26
69,1,4.29,0.00,0.02,0.00,0.98,0.00,0.67,0.00,25.89
70,1,1.83,0.58,0.46,0.00,0.54,0.00,0.67,0.00,16.80
71,1,0.62,0.01,0.08,0.01,0.92,0.00,0.67,0.00,4.05
72,1,2.70,0.00,0.02,0.00,0.98,0.00,0.67,0.00,16.33
73,1,6.50,4.80,0.07,0.13,0.93,0.00,0.67,0.00,49.49
74,1,8.29,0.07,0.03,0.07,0.97,0.00,0.67,0.00,51.58
75,1,1.14,0.55,0.52,0.00,0.48,0.00,0.67,0.00,13.10
76,1,0.34,0.00,0.60,1.24,0.40,2.82,0.12,5.00,12.89
77,1,10.80,0.00,0.02,0.00,0.98,0.00,0.67,0.00,65.21
78,1,0.23,0.00,0.05,0.00,0.95,0.00,0.67,0.00,1.40
79,1,0.72,0.72,0.32,0.02,0.68,0.00,0.67,0.00,9.63
80,1,1.39,0.06,0.03,0.06,0.97,0.00,0.67,0.00,9.76
81,1,2.45,0.14,0.00,0.14,1.00,0.00,0.67,0.00,17.76
82,1,2.34,0.04,0.01,0.04,0.99,0.00,0.67,0.00,14.96
83,1,2.17,2.17,0.03,0.03,0.97,0.00,0.67,0.00,14.99
84,1,0.53,0.00,0.02,0.00,0.98,0.00,0.67,0.00,3.21
85,1,0.23,0.00,0.11,0.00,0.89,0.00,0.67,0.00,1.36
86,1,1.69,0.00,0.04,0.00,0.96,0.00,0.67,0.00,10.20
87,1,0.65,0.05,0.00,0.05,1.00,0.00,0.67,0.00,4.92
88,1,0.50,0.00,0.11,0.00,0.89,0.00,0.67,0.00,2.99
89,1,0.14,0.00,0.04,0.00,0.96,0.00,0.67,0.00,0.85
90,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
91,1,0.77,0.60,0.05,0.00,0.95,0.00,0.67,0.00,5.25
92,1,0.81,0.02,0.29,0.02,0.71,0.00,0.67,0.00,5.36
93,1,0.47,0.07,0.09,0.03,0.91,0.00,0.67,0.00,3.47
94,1,9.41,0.00,0.02,0.00,0.98,0.00,0.67,0.00,56.80
95,1,2.08,0.03,0.00,0.01,1.00,0.00,0.67,0.00,12.88
96,1,0.23,0.00,0.05,0.00,0.95,0.00,0.67,0.00,1.37
97,1,0.92,0.06,0.12,0.06,0.88,0.00,0.67,0.00,6.84
98,1,1.03,0.09,0.07,0.09,0.93,0.00,0.67,0.00,8.06
99,1,4.42,0.20,0.21,0.10,0.79,0.00,0.67,0.00,29.27
100,1,1.19,0.34,0.38,0.00,0.62,0.00,0.67,0.00,10.02
101,1,0.98,0.98,0.04,0.00,0.96,0.00,0.67,0.00,6.74
102,1,1.82,0.33,0.08,0.00,0.92,0.00,0.67,0.00,11.57
103,1,0.97,0.00,0.25,0.00,0.75,0.00,0.67,0.00,5.88
104,1,0.51,0.00,0.02,0.00,0.98,0.00,0.67,0.00,3.08
105,1,1.76,0.00,0.01,0.00,0.99,0.00,0.67,0.00,10.63
106,1,8.98,0.00,0.02,0.00,0.98,0.00,0.67,0.00,54.24
107,1,0.84,0.00,0.26,0.00,0.74,0.00,0.67,0.00,5.05
108,1,0.48,0.00,0.01,0.00,0.99,0.00,0.67,0.00,2.89
109,1,2.85,0.00,0.05,0.00,0.95,0.00,0.67,0.00,17.23
110,1,1.38,0.00,0.10,0.00,0.90,0.00,0.67,0.00,8.33
111,1,2.10,0.00,0.18,0.00,0.82,0.00,0.67,0.00,12.66
112,1,0.70,0.00,0.15,0.00,0.85,0.00,0.67,0.00,4.23
113,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
114,1,0.40,0.40,0.05,0.00,0.95,0.00,0.67,0.00,2.84
115,1,1.90,0.00,0.18,0.00,0.82,0.00,0.67,0.00,11.47
116,1,1.52,0.00,0.05,0.00,0.95,0.00,0.67,0.00,9.21
117,1,0.24,0.00,0.02,0.00,0.98,0.00,0.67,0.00,1.46
118,1,1.12,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.75
119,1,0.63,0.00,0.12,0.00,0.88,0.00,0.67,0.00,3.78
120,1,2.74,0.00,0.09,0.00,0.91,0.00,0.67,0.00,16.56
121,1,0.63,0.00,0.18,0.00,0.82,0.00,0.67,0.00,3.79
122,1,0.94,0.08,0.25,0.09,0.75,0.00,0.67,0.00,7.57
123,1,0.88,0.00,0.25,0.00,0.75,0.00,0.67,0.00,5.32
124,1,0.72,0.00,0.14,0.00,0.86,0.00,0.67,0.00,4.35
125,1,1.18,0.00,0.19,0.00,0.81,0.00,0.67,0.00,7.15
126,1,0.50,0.50,0.20,0.00,0.80,0.00,0.67,0.00,5.14
127,1,1.00,0.01,0.03,0.01,0.97,0.00,0.67,0.00,6.36
128,1,5.51,0.00,0.02,0.00,0.98,0.00,0.67,0.00,33.27
129,1,8.69,0.00,0.02,0.00,0.98,0.00,0.67,0.00,52.50
130,1,1.64,0.00,0.05,0.00,0.95,0.00,0.67,0.00,9.88
131,1,0.42,0.00,0.01,0.00,0.99,0.00,0.67,0.00,2.56
132,1,1.16,0.00,0.09,0.00,0.91,0.00,0.67,0.00,7.02
133,1,1.35,0.00,0.10,0.00,0.90,0.00,0.67,0.00,8.15
134,1,1.14,0.00,0.11,0.00,0.89,0.00,0.67,0.00,6.90
135,1,2.13,0.00,0.02,0.00,0.98,0.00,0.67,0.00,12.85
136,1,0.61,0.00,0.04,0.00,0.96,0.00,0.67,0.00,3.70
137,1,1.15,0.20,0.03,0.01,0.97,0.00,0.67,0.00,7.34
138,1,0.56,0.00,0.05,0.00,0.95,0.00,0.67,0.00,3.36
139,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
140,1,0.22,0.02,0.06,0.01,0.94,0.00,0.67,0.00,1.61
141,1,2.17,0.00,0.09,0.00,0.91,0.00,0.67,0.00,13.10
142,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
143,1,0.49,0.00,0.05,0.00,0.95,0.00,0.67,0.00,2.95
144,1,0.69,0.41,0.51,0.00,0.49,0.00,0.67,0.00,8.73
145,1,0.28,0.28,0.38,0.00,0.62,0.00,0.67,0.00,3.99
146,1,8.62,1.24,0.06,0.00,0.94,0.00,0.67,0.00,53.54
147,1,1.88,1.88,0.17,0.00,0.83,0.00,0.67,0.00,18.25
148,1,62.69,1.10,0.12,0.12,0.88,0.00,0.67,0.00,383.68
149,1,4.21,0.72,0.15,0.04,0.85,0.00,0.67,0.00,28.43
150,1,8.23,8.23,0.06,0.06,0.94,0.00,0.67,0.00,61.88
151,1,1.13,0.99,0.18,0.00,0.82,0.00,0.67,0.00,10.55
152,1,0.77,0.07,0.36,0.07,0.64,0.00,0.67,0.00,6.15
153,1,0.90,0.00,0.18,0.00,0.82,0.00,0.67,0.00,5.42
154,1,0.68,0.00,0.09,0.00,0.91,0.00,0.67,0.00,4.13
155,1,1.51,0.00,0.05,0.00,0.95,0.00,0.67,0.00,9.14
156,1,0.57,0.00,0.19,0.00,0.81,0.00,0.67,0.00,3.46
157,1,1.20,0.44,0.37,0.06,0.63,0.00,0.67,0.00,11.60
158,1,2.20,0.09,0.13,0.09,0.87,0.00,0.67,0.00,15.29
159,1,0.24,0.00,0.13,0.00,0.87,0.00,0.67,0.00,1.45
160,1,0.58,0.58,0.33,0.00,0.67,0.00,0.67,0.00,7.61
161,1,0.53,0.00,0.11,0.00,0.89,0.00,0.67,0.00,3.18
162,1,0.92,0.86,0.15,0.12,0.85,0.00,0.67,0.00,10.63
163,1,0.00,0.00,0.00,0.04,1.00,0.32,0.48,1.00,0.77
164,1,1.12,1.12,0.34,0.07,0.66,0.00,0.67,0.00,15.86
165,1,1.28,1.23,0.19,0.00,0.81,0.00,0.67,0.00,12.89
166,1,0.49,0.11,0.47,0.04,0.53,0.00,0.67,0.00,4.54
167,1,1.70,0.31,1.00,0.31,0.00,0.00,0.67,0.00,16.97
168,1,2.70,2.70,0.41,0.00,0.59,0.00,0.67,0.00,40.08
169,1,5.17,0.47,0.20,0.00,0.80,0.00,0.67,0.00,33.26
170,1,0.00,0.00,0.97,0.84,0.03,5.20,0.03,1.00,0.55
171,1,0.97,0.23,0.16,0.23,0.84,0.00,0.67,0.00,10.92
172,1,0.26,0.02,0.03,0.02,0.97,0.00,0.67,0.00,1.91
173,1,0.61,0.05,0.00,0.05,1.00,0.00,0.67,0.00,4.69
174,1,1.73,0.02,0.00,0.02,1.00,0.00,0.67,0.00,10.80
175,1,0.72,0.09,0.03,0.08,0.97,0.00,0.67,0.00,6.03
176,1,1.25,1.25,0.03,0.00,0.97,0.00,0.67,0.00,8.22
177,1,2.13,0.00,0.10,0.00,0.90,0.00,0.67,0.00,12.87
178,1,2.09,0.00,0.01,0.00,0.99,0.00,0.67,0.00,12.62
179,1,0.11,0.00,0.05,0.00,0.95,0.00,0.67,0.00,0.66
180,1,1.80,0.00,0.18,0.00,0.82,0.00,0.67,0.00,10.88
181,1,0.59,0.00,0.02,0.00,0.98,0.00,0.67,0.00,3.57
182,1,0.62,0.00,0.13,0.00,0.87,0.00,0.67,0.00,3.75
183,1,1.35,0.00,0.02,0.00,0.98,0.00,0.67,0.00,8.14
184,1,2.39,0.00,0.02,0.00,0.98,0.00,0.67,0.00,14.44
185,1,0.95,0.00,0.09,0.00,0.91,0.00,0.67,0.00,5.73
186,1,0.24,0.00,0.13,0.00,0.87,0.00,0.67,0.00,1.45
187,1,8.48,0.00,0.02,0.00,0.98,0.00,0.67,0.00,51.19
188,1,6.78,0.00,0.02,0.00,0.98,0.00,0.67,0.00,40.97
189,1,1.01,0.00,0.19,0.00,0.81,0.00,0.67,0.00,6.12
190,1,2.16,0.00,0.09,0.00,0.91,0.00,0.67,0.00,13.07
191,1,2.91,0.00,0.05,0.00,0.95,0.00,0.67,0.00,17.55
192,1,1.71,0.00,0.17,0.00,0.83,0.00,0.67,0.00,10.34
193,1,0.24,0.00,0.05,0.00,0.95,0.00,0.67,0.00,1.45
194,1,6.58,0.00,0.02,0.00,0.98,0.00,0.67,0.00,39.75
195,1,1.54,0.00,0.05,0.00,0.95,0.00,0.67,0.00,9.32
196,1,0.76,0.00,0.13,0.00,0.87,0.00,0.67,0.00,4.61
197,1,0.96,0.00,0.09,0.00,0.91,0.00,0.67,0.00,5.77
198,1,0.93,0.00,0.09,0.00,0.91,0.00,0.67,0.00,5.64
199,1,1.03,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.25
200,1,3.02,0.00,0.16,0.00,0.84,0.00,0.67,0.00,18.24
201,1,1.04,0.00,0.18,0.00,0.82,0.00,0.67,0.00,6.30
202,1,1.53,0.00,0.05,0.00,0.95,0.00,0.67,0.00,9.24
203,1,1.03,0.00,0.27,0.00,0.73,0.00,0.67,0.00,6.21
204,1,1.53,0.00,0.11,0.00,0.89,0.00,0.67,0.00,9.26
205,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
206,1,0.86,0.00,0.19,0.00,0.81,0.00,0.67,0.00,5.17
207,1,1.24,0.00,0.01,0.00,0.99,0.00,0.67,0.00,7.47
208,1,0.79,0.00,0.25,0.00,0.75,0.00,0.67,0.00,4.79
209,1,0.49,0.00,0.02,0.00,0.98,0.00,0.67,0.00,2.94
210,1,0.99,0.00,0.18,0.00,0.82,0.00,0.67,0.00,5.99
211,1,0.39,0.00,0.10,0.00,0.90,0.00,0.67,0.00,2.36
212,1,0.81,0.00,0.26,0.00,0.74,0.00,0.67,0.00,4.89
213,1,0.75,0.00,0.19,0.00,0.81,0.00,0.67,0.00,4.51
214,1,0.56,0.00,0.01,0.00,0.99,0.00,0.67,0.00,3.39
215,1,0.24,0.10,0.33,0.09,0.67,0.00,0.67,0.00,3.45
216,1,1.33,0.00,0.25,0.00,0.75,0.00,0.67,0.00,8.01
217,1,0.75,0.04,0.00,0.04,1.00,0.00,0.67,0.00,5.30
218,1,0.63,0.00,0.26,0.00,0.74,0.00,0.67,0.00,3.81
219,1,1.23,0.00,0.02,0.00,0.98,0.00,0.67,0.00,7.45
220,1,0.25,0.00,0.02,0.00,0.98,0.00,0.67,0.00,1.48
221,1,0.40,0.02,0.25,0.02,0.75,0.00,0.67,0.00,2.80
222,1,0.41,0.22,1.00,0.27,0.00,0.00,0.67,0.00,7.26
223,1,0.91,0.04,0.00,0.04,1.00,0.00,0.67,0.00,6.28
224,1,0.49,0.00,0.02,0.00,0.98,0.00,0.67,0.00,2.99
225,1,62.86,0.21,0.24,0.21,0.76,0.00,0.67,0.00,384.21
226,1,0.93,0.44,0.82,0.00,0.18,0.00,0.67,0.00,13.39
227,1,1.31,0.20,0.46,0.00,0.54,0.00,0.67,0.00,9.91
228,1,1.48,1.48,0.35,0.00,0.65,0.00,0.67,0.00,20.00
229,1,0.76,0.34,0.29,0.00,0.71,0.00,0.67,0.00,6.78
230,1,0.25,0.00,0.01,0.00,0.99,0.00,0.67,0.00,1.53
231,1,1.09,0.08,0.00,0.08,1.00,0.00,0.67,0.00,8.34
232,1,0.44,0.44,0.81,6.51,0.19,0.77,0.36,0.00,37.72
233,1,0.94,0.94,0.07,0.00,0.93,0.00,0.67,0.00,7.09
234,1,1.91,0.06,0.03,0.06,0.97,0.00,0.67,0.00,12.90
235,1,2.28,0.31,0.03,0.30,0.97,0.00,0.67,0.00,20.30
236,1,9.15,0.02,0.09,0.02,0.91,0.00,0.67,0.00,55.67
237,1,0.56,0.56,0.13,0.00,0.87,0.00,0.67,0.00,4.96
238,1,1.12,0.00,0.09,0.00,0.91,0.00,0.67,0.00,6.78
239,1,0.59,0.00,0.33,0.00,0.67,0.00,0.67,0.00,3.55
240,1,1.83,0.52,0.09,0.00,0.91,0.00,0.67,0.00,12.04
241,1,0.40,0.00,0.02,0.00,0.98,0.00,0.67,0.00,2.41
242,1,1.28,0.00,0.05,0.00,0.95,0.00,0.67,0.00,7.76
243,1,9.94,0.42,0.09,0.08,0.91,0.00,0.67,0.00,62.52
244,1,1676.58,0.00,0.02,0.00,0.98,0.00,0.67,0.00,10124.63
245,1,0.85,0.00,0.19,0.00,0.81,0.00,0.67,0.00,5.15
246,1,1.11,0.00,0.02,0.00,0.98,0.00,0.67,0.00,6.68
247,1,0.50,0.50,0.38,0.00,0.62,0.00,0.67,0.00,7.14
248,1,0.64,0.02,0.01,0.01,0.99,0.00,0.67,0.00,4.16
249,1,0.56,0.00,0.07,0.00,0.93,0.00,0.67,0.00,3.38
250,1,1.53,0.15,0.00,0.15,1.00,0.00,0.67,0.00,12.42
251,1,0.24,0.13,0.13,0.00,0.87,0.00,0.67,0.00,1.87
252,1,0.60,0.00,0.01,0.00,0.99,0.00,0.67,0.00,3.61
253,1,0.66,0.10,0.06,0.09,0.94,0.00,0.67,0.00,6.03
254,1,1.38,0.00,0.09,0.00,0.91,0.00,0.67,0.00,8.36
255,1,8.21,0.00,0.02,0.00,0.98,0.00,0.67,0.00,49.59
256,1,0.47,0.00,0.02,0.00,0.98,0.00,0.67,0.00,2.83
257,1,1.18,0.00,0.05,0.00,0.95,0.00,0.67,0.00,7.12
258,1,0.69,0.00,0.10,0.00,0.90,0.00,0.67,0.00,4.18
259,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
260,1,0.62,0.00,0.34,0.00,0.66,0.00,0.67,0.00,3.75
261,1,1.42,0.00,0.18,0.00,0.82,0.00,0.67,0.00,8.59
262,1,2.55,0.00,0.09,0.00,0.91,0.00,0.67,0.00,15.42
263,1,0.89,0.00,0.17,0.00,0.83,0.00,0.67,0.00,5.38
264,1,1.61,0.00,0.09,0.00,0.91,0.00,0.67,0.00,9.71
265,1,0.50,0.00,0.05,0.00,0.95,0.00,0.67,0.00,3.00
266,1,11.66,0.00,0.02,0.00,0.98,0.00,0.67,0.00,70.40
267,1,0.90,0.00,0.26,0.00,0.74,0.00,0.67,0.00,5.41
268,1,1.87,0.00,0.09,0.00,0.91,0.00,0.67,0.00,11.30
269,1,0.36,0.02,0.00,0.02,1.00,0.00,0.67,0.00,2.52
270,1,2.51,0.00,0.11,0.00,0.89,0.00,0.67,0.00,15.13
271,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
272,1,1.24,0.00,0.02,0.00,0.98,0.00,0.67,0.00,7.47
273,1,1.27,0.00,0.11,0.00,0.89,0.00,0.67,0.00,7.66
274,1,1.31,0.00,0.26,0.00,0.74,0.00,0.67,0.00,7.90
275,1,1.13,0.06,0.16,0.06,0.84,0.00,0.67,0.00,8.15
276,1,0.90,0.90,0.10,0.06,0.90,0.00,0.67,0.00,8.53
277,1,3.64,0.61,0.11,0.00,0.89,0.00,0.67,0.00,23.46
278,1,2.51,2.51,0.02,0.04,0.98,0.00,0.67,0.00,16.81
279,1,0.47,0.00,0.11,0.00,0.89,0.00,0.67,0.00,2.85
280,1,1.13,0.01,0.00,0.01,1.00,0.00,0.67,0.00,7.16
281,1,2.01,0.04,0.00,0.04,1.00,0.00,0.67,0.00,13.11
282,1,0.44,0.07,0.01,0.07,0.99,0.00,0.67,0.00,4.16
283,1,0.84,0.00,0.13,0.00,0.87,0.00,0.67,0.00,5.10
284,1,1.17,0.00,0.11,0.00,0.89,0.00,0.67,0.00,7.05
285,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
286,1,0.74,0.00,0.15,0.00,0.85,0.00,0.67,0.00,4.47
287,1,6.78,0.00,0.00,0.00,1.00,0.00,0.67,0.00,40.92
288,1,0.74,0.00,0.12,0.00,0.88,0.00,0.67,0.00,4.46
289,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
290,1,1.17,0.00,0.05,0.00,0.95,0.00,0.67,0.00,7.09
291,1,4.13,0.01,0.00,0.01,1.00,0.00,0.67,0.00,25.24
292,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
293,1,0.76,0.00,0.20,0.00,0.80,0.00,0.67,0.00,4.57
294,1,0.41,0.00,0.05,0.00,0.95,0.00,0.67,0.00,2.51
295,1,1.09,0.00,0.20,0.00,0.80,0.00,0.67,0.00,6.61
296,1,1.04,0.00,0.20,0.00,0.80,0.00,0.67,0.00,6.29
297,1,0.25,0.00,0.11,0.00,0.89,0.00,0.67,0.00,1.52
298,1,1.16,0.07,0.07,0.07,0.93,0.00,0.67,0.00,8.40
299,1,0.66,0.00,0.18,0.00,0.82,0.00,0.67,0.00,4.01
300,1,0.59,0.01,0.00,0.01,1.00,0.00,0.67,0.00,3.89
301,1,0.45,0.00,0.05,0.00,0.95,0.00,0.67,0.00,2.75
302,1,0.58,0.00,0.33,0.00,0.67,0.00,0.67,0.00,3.49
303,1,5.10,0.00,0.02,0.00,0.98,0.00,0.67,0.00,30.80
304,1,1.04,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.25
305,1,0.26,0.04,0.00,0.04,1.00,0.00,0.67,0.00,2.33
306,1,22.91,1.79,0.14,0.00,0.86,0.00,0.67,0.00,143.72
307,1,0.53,0.10,0.34,0.09,0.66,0.00,0.67,0.00,5.24
308,1,0.74,0.74,0.25,0.00,0.75,0.00,0.67,0.00,8.46
309,1,0.78,0.00,0.25,0.00,0.75,0.00,0.67,0.00,4.72
310,1,19.15,4.35,0.04,0.06,0.96,0.00,0.67,0.00,121.06
311,1,0.34,0.00,0.05,0.00,0.95,0.00,0.67,0.00,2.08
312,1,4.31,0.01,0.00,0.01,1.00,0.00,0.67,0.00,26.29
313,1,2.55,0.03,0.40,0.03,0.60,0.00,0.67,0.00,16.01
314,1,1.14,0.00,0.05,0.00,0.95,0.00,0.67,0.00,6.86
315,1,1.57,1.57,0.05,0.00,0.95,0.00,0.67,0.00,11.14
316,1,0.60,0.03,0.06,0.03,0.94,0.00,0.67,0.00,4.27
317,1,2.81,0.77,0.07,0.11,0.93,0.00,0.67,0.00,20.35
318,1,0.68,0.38,0.10,0.00,0.90,0.00,0.67,0.00,4.93
319,1,2.09,0.02,0.00,0.02,1.00,0.00,0.67,0.00,13.01
320,1,0.45,0.22,0.66,0.04,0.34,0.00,0.67,0.00,6.09
321,1,1.61,0.10,0.30,0.11,0.70,0.00,0.67,0.00,11.97
322,1,4.42,1.24,0.10,0.00,0.90,0.00,0.67,0.00,29.33
323,1,1.36,0.06,0.00,0.06,1.00,0.00,0.67,0.00,9.47
324,1,0.42,0.00,0.11,0.00,0.89,0.00,0.67,0.00,2.55
325,1,10.87,0.16,0.09,0.16,0.91,0.00,0.67,0.00,69.05
326,1,0.23,0.00,0.02,0.00,0.98,0.00,0.67,0.00,1.42
327,1,2.47,0.06,0.00,0.06,1.00,0.00,0.67,0.00,16.27
328,1,0.87,0.87,0.15,0.07,0.85,0.00,0.67,0.00,9.24
329,1,0.14,0.14,0.41,0.00,0.59,0.00,0.67,0.00,2.15
330,1,0.88,0.04,0.00,0.04,1.00,0.00,0.67,0.00,6.26
331,1,0.59,0.42,0.14,0.00,0.86,0.00,0.67,0.00,4.78
332,1,4.51,0.12,0.08,0.12,0.92,0.00,0.67,0.00,29.85
333,1,0.69,0.04,0.00,0.04,1.00,0.00,0.67,0.00,4.96
334,1,6.43,0.29,0.06,0.00,0.94,0.00,0.67,0.00,39.18
335,1,0.92,0.00,0.18,0.00,0.82,0.00,0.67,0.00,5.54
336,1,0.56,0.00,0.10,0.00,0.90,0.00,0.67,0.00,3.38
337,1,2.48,0.00,0.05,0.00,0.95,0.00,0.67,0.00,14.96
338,1,0.59,0.00,0.26,0.00,0.74,0.00,0.67,0.00,3.55
339,1,3.13,0.00,0.01,0.00,0.99,0.00,0.67,0.00,18.90
340,1,1.89,0.14,0.22,0.14,0.78,0.00,0.67,0.00,14.37
341,1,0.31,0.00,0.11,0.00,0.89,0.00,0.67,0.00,1.87
342,1,0.62,0.00,0.19,0.00,0.81,0.00,0.67,0.00,3.73
343,1,0.64,0.02,0.00,0.02,1.00,0.00,0.67,0.00,4.31
344,1,0.63,0.00,0.20,0.00,0.80,0.00,0.67,0.00,3.81
345,1,0.55,0.00,0.05,0.00,0.95,0.00,0.67,0.00,3.31
