s0,s1,s2a,s2b
0.81553,0.12962,0.03394,0.02092
0.03157,0.56457,0.26545,0.13841
0.67475,0.10119,0.20478,0.01928
0.02352,0.74448,0.05935,0.17265
0.83208,0.11424,0.03528,0.01841
0.82563,0.11820,0.03694,0.01923
0.92698,0.02612,0.04264,0.00426
0.69514,0.09677,0.19000,0.01809
0.96027,0.01192,0.02602,0.00179
0.93675,0.02178,0.03799,0.00348
0.63351,0.30095,0.01938,0.04616
0.77561,0.06736,0.14512,0.01190
0.66752,0.12335,0.18601,0.02312
0.40151,0.48786,0.02658,0.08405
0.48068,0.33921,0.11741,0.06270
0.16715,0.53471,0.18968,0.10846
0.74685,0.17740,0.04556,0.03018
0.62316,0.22886,0.10785,0.04013
0.06003,0.31786,0.54546,0.07665
0.90070,0.03926,0.05339,0.00665
0.12767,0.52656,0.22957,0.11620
0.26342,0.20345,0.48810,0.04502
0.00526,0.53937,0.29970,0.15567
0.02098,0.52462,0.31411,0.14030
0.33123,0.15844,0.47673,0.03360
0.28860,0.20294,0.46469,0.04377
0.95998,0.01228,0.02591,0.00184
0.83323,0.11209,0.03654,0.01813
0.95004,0.01601,0.03148,0.00248
0.93676,0.02178,0.03798,0.00348
0.95126,0.01568,0.03062,0.00244
0.89751,0.04079,0.05476,0.00694
0.15792,0.48767,0.24935,0.10506
0.24117,0.18569,0.53092,0.04223
0.92747,0.02458,0.04392,0.00403
0.47790,0.33540,0.12402,0.06267
0.02960,0.82955,0.00166,0.13920
0.93676,0.02178,0.03798,0.00348
0.92482,0.03061,0.03964,0.00493
0.93675,0.02178,0.03799,0.00348
0.78782,0.05574,0.14653,0.00991
0.94980,0.01624,0.03145,0.00251
0.70650,0.09090,0.18561,0.01700
0.42078,0.38822,0.11790,0.07309
0.93670,0.02184,0.03798,0.00348
0.73445,0.07546,0.17619,0.01390
0.86701,0.08770,0.03148,0.01381
0.27322,0.49415,0.13106,0.10156
0.54432,0.28411,0.11987,0.05170
0.33559,0.15305,0.47872,0.03264
0.89988,0.03268,0.06177,0.00567
0.94988,0.01615,0.03147,0.00250
0.95913,0.01208,0.02696,0.00183
0.93677,0.02178,0.03798,0.00348
0.76217,0.07762,0.14645,0.01376
0.72745,0.07978,0.17812,0.01466
0.52328,0.39247,0.02131,0.06293
0.93673,0.02178,0.03801,0.00348
0.88816,0.07313,0.02744,0.01127
0.90263,0.06341,0.02445,0.00950
0.93670,0.02180,0.03802,0.00348
0.01119,0.20450,0.72412,0.06019
0.04823,0.23003,0.66069,0.06105
0.44149,0.35827,0.13165,0.06859
0.93519,0.02226,0.03898,0.00357
0.90373,0.03489,0.05542,0.00596
0.50642,0.14345,0.32002,0.03012
0.31692,0.16023,0.48826,0.03459
0.05751,0.73607,0.05356,0.15286
0.70821,0.09045,0.18447,0.01687
0.93298,0.02293,0.04038,0.00370
0.93674,0.02178,0.03800,0.00348
0.68988,0.21539,0.05635,0.03839
0.47593,0.33685,0.12422,0.06300
0.94816,0.01751,0.03162,0.00271
0.83838,0.11001,0.03403,0.01758
0.00743,0.21253,0.71363,0.06641
0.28310,0.16317,0.51780,0.03593
0.50255,0.30408,0.13636,0.05701
0.70068,0.09267,0.18927,0.01738
0.93676,0.02178,0.03799,0.00348
0.93679,0.02177,0.03797,0.00348
0.93670,0.02180,0.03801,0.00348
0.93677,0.02178,0.03798,0.00348
0.90198,0.06393,0.02448,0.00960
0.14128,0.50894,0.23852,0.11126
0.28107,0.20377,0.47089,0.04428
0.03338,0.52972,0.30651,0.13039
0.88419,0.07689,0.02712,0.01180
0.84627,0.10030,0.03722,0.01621
0.14988,0.67077,0.04945,0.12989
0.79189,0.05493,0.14348,0.00970
0.45565,0.36742,0.10931,0.06762
0.82557,0.11824,0.03695,0.01923
0.48852,0.40059,0.04153,0.06936
0.03510,0.80264,0.00982,0.15244
0.90197,0.06354,0.02491,0.00958
0.90138,0.03758,0.05462,0.00642
0.82588,0.11561,0.03959,0.01892
0.01172,0.25994,0.65034,0.07800
0.93673,0.02178,0.03801,0.00348
0.70937,0.09038,0.18342,0.01683
0.01094,0.81471,0.01048,0.16386
0.83658,0.11164,0.03394,0.01784
0.93668,0.02181,0.03803,0.00348
0.78993,0.05527,0.14499,0.00980
0.47674,0.33954,0.12055,0.06318
0.02412,0.57264,0.25868,0.14456
0.88669,0.07539,0.02640,0.01152
0.00620,0.80235,0.01248,0.17896
0.74424,0.06694,0.17650,0.01232
0.72860,0.07026,0.18809,0.01305
0.93674,0.02178,0.03799,0.00348
0.75081,0.17473,0.04480,0.02965
0.87620,0.08202,0.02907,0.01270
0.02153,0.76855,0.04013,0.16979
0.75840,0.07164,0.15710,0.01285
0.91279,0.03397,0.04758,0.00565
0.89903,0.03971,0.05450,0.00675
0.00113,0.78247,0.01350,0.20290
0.80995,0.06820,0.10836,0.01349
0.70475,0.09138,0.18676,0.01711
0.83827,0.11014,0.03400,0.01759
0.70657,0.09086,0.18558,0.01699
0.17117,0.47382,0.25426,0.10075
0.87586,0.08238,0.02902,0.01275
0.04262,0.73765,0.06138,0.15834
0.32115,0.45793,0.12903,0.09189
0.69033,0.10008,0.19075,0.01884
0.04411,0.73459,0.06420,0.15710
0.29766,0.48017,0.12545,0.09673
0.28958,0.19793,0.46947,0.04302
0.15157,0.67723,0.04282,0.12838
0.53038,0.38620,0.02159,0.06183
0.57627,0.29810,0.07525,0.05038
0.11508,0.47979,0.29513,0.11001
0.93677,0.02178,0.03798,0.00348
0.39907,0.38813,0.13690,0.07590
0.93689,0.02173,0.03791,0.00347
0.71825,0.08019,0.18651,0.01504
0.76329,0.06910,0.15521,0.01240
0.93674,0.02179,0.03799,0.00348
0.16842,0.47465,0.25505,0.10188
0.93689,0.02173,0.03791,0.00347
0.93677,0.02178,0.03798,0.00348
0.69273,0.10445,0.18324,0.01957
0.91972,0.02963,0.04577,0.00489
0.50111,0.31350,0.12703,0.05835
0.02281,0.53748,0.29749,0.14223
0.16225,0.66646,0.04511,0.12618
0.82948,0.11656,0.03518,0.01878
0.96049,0.01173,0.02602,0.00176
0.93677,0.02178,0.03798,0.00348
0.95940,0.01218,0.02657,0.00184
0.84098,0.10764,0.03417,0.01722
0.93343,0.02468,0.03795,0.00394
0.93670,0.02181,0.03801,0.00348
0.81997,0.12091,0.03931,0.01981
0.93673,0.02179,0.03799,0.00348
0.60380,0.12939,0.24096,0.02584
0.44751,0.33858,0.14835,0.06555
0.13437,0.56592,0.18002,0.11968
0.69568,0.09371,0.19292,0.01769
0.93676,0.02178,0.03799,0.00348
0.06296,0.71971,0.06953,0.14781
0.95989,0.01187,0.02645,0.00179
0.51741,0.39757,0.02113,0.06388
0.48557,0.35417,0.09682,0.06344
0.03157,0.54335,0.29053,0.13456
0.95938,0.01224,0.02654,0.00184
0.89896,0.06557,0.02551,0.00996
0.82175,0.11924,0.03944,0.01957
0.84342,0.10547,0.03425,0.01686
0.94867,0.01665,0.03209,0.00259
0.24602,0.25524,0.44255,0.05619
0.29704,0.16143,0.50641,0.03512
0.67022,0.27077,0.01824,0.04077
0.91848,0.03066,0.04580,0.00505
0.73918,0.18306,0.04647,0.03129
0.89807,0.04014,0.05495,0.00684
0.44080,0.35630,0.13461,0.06829
0.93674,0.02178,0.03801,0.00348
0.26992,0.57898,0.04886,0.10225
0.34760,0.19426,0.41827,0.03987
0.13549,0.53950,0.20903,0.11599
0.93676,0.02178,0.03799,0.00348
0.93676,0.02178,0.03798,0.00348
0.95009,0.01599,0.03145,0.00247
0.93689,0.02173,0.03791,0.00347
0.96047,0.01174,0.02603,0.00176
0.95938,0.01219,0.02659,0.00184
0.44989,0.36014,0.12213,0.06784
0.88832,0.07348,0.02692,0.01127
0.00068,0.72203,0.06001,0.21728
0.83514,0.11287,0.03394,0.01805
0.70948,0.09014,0.18357,0.01681
0.60032,0.32713,0.02125,0.05129
0.93676,0.02178,0.03799,0.00348
0.06483,0.18820,0.69914,0.04784
0.74090,0.06956,0.17681,0.01273
0.89925,0.06459,0.02635,0.00980
0.90203,0.03812,0.05340,0.00645
0.29967,0.57583,0.02242,0.10208
0.93676,0.02178,0.03799,0.00348
0.53142,0.28914,0.12653,0.05290
0.92606,0.02969,0.03947,0.00478
0.93675,0.02178,0.03799,0.00348
0.81364,0.12196,0.04402,0.02037
0.93674,0.02179,0.03799,0.00348
0.00777,0.21604,0.70956,0.06664
0.95963,0.01194,0.02663,0.00180
0.29435,0.20159,0.46076,0.04329
0.66794,0.11421,0.19617,0.02168
0.96069,0.01164,0.02592,0.00175
0.79827,0.13919,0.03959,0.02295
0.01221,0.20190,0.72736,0.05853
0.62852,0.22775,0.10407,0.03967
0.17663,0.47451,0.24880,0.10006
0.93675,0.02178,0.03799,0.00348
0.04341,0.76663,0.03742,0.15254
0.68245,0.10745,0.18987,0.02023
0.69563,0.09372,0.19295,0.01769
0.00646,0.81135,0.00926,0.17293
0.16428,0.64970,0.06290,0.12312
0.26085,0.20680,0.48666,0.04569
0.17157,0.48900,0.23568,0.10375
0.93674,0.02178,0.03799,0.00348
0.05765,0.72403,0.06816,0.15016
0.75791,0.06546,0.16478,0.01184
0.93674,0.02178,0.03800,0.00348
0.93650,0.02192,0.03808,0.00350
0.93677,0.02178,0.03798,0.00348
0.48209,0.33466,0.12124,0.06201
0.29010,0.20444,0.46148,0.04399
0.66032,0.19071,0.11534,0.03362
0.71130,0.08968,0.18233,0.01670
0.69714,0.09525,0.18977,0.01783
0.09802,0.54954,0.22924,0.12320
0.38401,0.11694,0.47478,0.02427
0.15867,0.67216,0.04267,0.12649
0.05229,0.23178,0.65536,0.06057
0.52478,0.38776,0.02422,0.06324
0.63703,0.10852,0.23307,0.02138
0.56759,0.27152,0.11238,0.04851
0.75043,0.17058,0.04962,0.02936
0.06932,0.15143,0.74081,0.03844
0.70951,0.09016,0.18352,0.01681
0.14451,0.29155,0.49233,0.07160
0.70934,0.09018,0.18366,0.01682
0.01665,0.78091,0.02904,0.17340
0.04389,0.72423,0.07431,0.15758
0.85878,0.03130,0.10471,0.00520
0.69423,0.10690,0.17907,0.01980
0.03757,0.74366,0.05865,0.16012
0.26155,0.18209,0.51544,0.04093
0.00551,0.73163,0.07141,0.19145
0.00769,0.80524,0.01248,0.17459
0.78960,0.15223,0.03350,0.02467
0.93668,0.02181,0.03803,0.00348
0.13252,0.53111,0.22039,0.11598
0.58369,0.34124,0.02128,0.05379
0.26131,0.20690,0.48602,0.04578
0.89561,0.04139,0.05591,0.00708
0.13077,0.53440,0.21809,0.11674
0.95531,0.01352,0.02910,0.00208
0.95956,0.01196,0.02668,0.00180
0.70608,0.09100,0.18589,0.01702
0.75306,0.07077,0.16333,0.01284
0.35907,0.15182,0.45748,0.03163
0.92053,0.02906,0.04562,0.00479
0.46017,0.33276,0.14332,0.06375
0.93670,0.02184,0.03798,0.00348
0.96047,0.01174,0.02603,0.00176
0.70958,0.09010,0.18351,0.01681
0.56128,0.26711,0.12264,0.04897
0.59600,0.11968,0.26047,0.02385
0.84638,0.10290,0.03432,0.01640
0.93670,0.02184,0.03798,0.00348
0.75522,0.07134,0.16054,0.01290
0.05268,0.58063,0.21769,0.14900
0.94064,0.02259,0.03322,0.00355
0.55345,0.27263,0.12409,0.04982
0.89947,0.03908,0.05480,0.00665
0.97537,0.00620,0.01756,0.00087
0.20485,0.25909,0.47647,0.05960
0.28445,0.19956,0.47250,0.04349
0.70829,0.09040,0.18442,0.01689
0.68846,0.25417,0.01903,0.03834
0.13581,0.53342,0.21586,0.11491
0.35015,0.15290,0.46494,0.03201
0.92014,0.02925,0.04578,0.00482
0.82456,0.12097,0.03497,0.01951
0.96010,0.01202,0.02607,0.00180
0.17554,0.65908,0.04320,0.12218
0.92324,0.02687,0.04547,0.00442
0.79191,0.05563,0.14265,0.00981
0.62677,0.30596,0.02004,0.04722
0.92323,0.02869,0.04329,0.00480
0.92005,0.02949,0.04561,0.00486
0.01120,0.23205,0.68959,0.06715
0.73787,0.14805,0.08948,0.02460
0.27987,0.17973,0.50076,0.03964
0.17061,0.66161,0.04405,0.12374
0.28521,0.19869,0.47274,0.04335
0.38596,0.14458,0.43973,0.02973
0.66068,0.11342,0.20414,0.02176
0.00004,0.66507,0.07801,0.25688
0.44698,0.35562,0.12967,0.06773
0.32706,0.15884,0.48026,0.03384
0.93677,0.02178,0.03798,0.00348
0.93639,0.02210,0.03798,0.00353
0.96051,0.01173,0.02601,0.00176
0.91304,0.03475,0.04646,0.00575
0.93677,0.02178,0.03798,0.00348
0.05340,0.29323,0.57872,0.07464
0.83458,0.11244,0.03492,0.01807
0.95587,0.01447,0.02745,0.00220
0.83997,0.10849,0.03418,0.01736
0.93677,0.02178,0.03798,0.00348
0.38737,0.42053,0.11084,0.08126
0.28614,0.52352,0.09432,0.09602
0.00600,0.73340,0.07032,0.19028
0.84738,0.10192,0.03445,0.01626
0.93670,0.02184,0.03798,0.00348
0.96010,0.01202,0.02608,0.00180
0.74725,0.07280,0.16670,0.01326
0.95004,0.01601,0.03148,0.00248
0.89903,0.03971,0.05450,0.00675
0.93671,0.02179,0.03802,0.00348
0.01077,0.75861,0.05596,0.17467
0.96005,0.01200,0.02615,0.00180
0.91708,0.03052,0.04733,0.00507
0.93675,0.02178,0.03799,0.00348
0.03003,0.72628,0.07488,0.16880
0.93585,0.02206,0.03856,0.00353
0.89978,0.03884,0.05478,0.00660
0.93675,0.02178,0.03799,0.00348
0.95010,0.01599,0.03144,0.00247
0.71455,0.08890,0.18005,0.01650
0.67493,0.09962,0.20641,0.01903
0.81998,0.12090,0.03931,0.01981
0.08104,0.19427,0.67731,0.04738
0.96005,0.01200,0.02615,0.00180
0.95988,0.01188,0.02646,0.00179
0.93674,0.02178,0.03800,0.00348
0.87200,0.05362,0.06497,0.00941
0.93676,0.02178,0.03799,0.00348
0.93677,0.02178,0.03798,0.00348
0.14354,0.69424,0.03402,0.12820
0.33240,0.15545,0.47898,0.03317
0.93464,0.02248,0.03927,0.00362
0.93676,0.02178,0.03799,0.00348
0.87453,0.08358,0.02896,0.01293
0.93677,0.02178,0.03798,0.00348
0.53880,0.17583,0.24948,0.03589
0.53192,0.38305,0.02303,0.06199
0.87524,0.08287,0.02905,0.01284
0.95009,0.01599,0.03145,0.00247
0.50660,0.34718,0.08540,0.06082
0.68628,0.08843,0.20843,0.01686
0.95934,0.01219,0.02663,0.00184
0.93674,0.02179,0.03799,0.00348
0.87440,0.08367,0.02898,0.01295
0.02632,0.80379,0.01060,0.15929
0.70751,0.09072,0.18481,0.01696
0.33918,0.46298,0.10849,0.08936
0.93689,0.02173,0.03792,0.00347
0.84504,0.10339,0.03500,0.01657
0.93674,0.02178,0.03799,0.00348
0.94920,0.01641,0.03184,0.00255
0.76656,0.06079,0.16167,0.01098
0.05479,0.25176,0.62887,0.06458
0.13704,0.51749,0.23257,0.11291
0.29465,0.46734,0.14235,0.09567
0.09569,0.54698,0.23100,0.12633
0.71165,0.09241,0.17889,0.01705
0.94990,0.01614,0.03147,0.00250
0.47738,0.33425,0.12575,0.06262
0.28482,0.19890,0.47293,0.04334
0.76029,0.06906,0.15821,0.01244
0.93656,0.02190,0.03805,0.00349
0.83842,0.11001,0.03400,0.01757
0.91966,0.02750,0.04826,0.00458
0.93675,0.02178,0.03799,0.00348
0.96051,0.01173,0.02601,0.00176
0.45100,0.38685,0.09249,0.06966
0.24435,0.23192,0.47219,0.05154
0.93677,0.02178,0.03798,0.00348
0.51591,0.39902,0.02102,0.06404
0.95982,0.01189,0.02650,0.00179
0.86903,0.08773,0.02955,0.01368
0.95006,0.01600,0.03147,0.00247
0.89903,0.03971,0.05450,0.00675
0.90105,0.06481,0.02442,0.00972
0.13888,0.58455,0.15610,0.12047
0.59889,0.11866,0.25876,0.02370
0.91202,0.03495,0.04722,0.00580
0.93677,0.02178,0.03798,0.00348
0.38446,0.39899,0.13837,0.07818
0.47959,0.33495,0.12258,0.06288
0.92356,0.02574,0.04644,0.00426
0.93597,0.02246,0.03798,0.00359
0.81155,0.12818,0.03921,0.02105
0.09200,0.73250,0.03443,0.14107
0.92005,0.02949,0.04561,0.00486
0.79268,0.05545,0.14210,0.00977
0.92399,0.02658,0.04506,0.00437
0.12521,0.54243,0.21414,0.11823
0.93677,0.02178,0.03798,0.00348
0.15668,0.66968,0.04594,0.12770
0.94936,0.01631,0.03181,0.00253
0.93674,0.02178,0.03800,0.00348
0.71176,0.08962,0.18194,0.01668
0.73107,0.08621,0.16703,0.01570
0.68715,0.10221,0.19133,0.01930
0.36584,0.16829,0.43116,0.03470
0.90425,0.06200,0.02444,0.00931
0.93673,0.02179,0.03799,0.00348
0.95007,0.01600,0.03146,0.00247
0.93676,0.02178,0.03799,0.00348
0.83277,0.11255,0.03640,0.01828
0.89839,0.04007,0.05473,0.00681
0.67701,0.11197,0.18980,0.02121
0.90933,0.03426,0.05063,0.00577
0.03495,0.23221,0.67051,0.06232
0.93425,0.02130,0.04095,0.00351
0.30812,0.16015,0.49714,0.03459
0.48333,0.42206,0.02469,0.06992
0.93673,0.02178,0.03801,0.00348
0.93676,0.02178,0.03798,0.00348
0.93676,0.02178,0.03799,0.00348
0.91950,0.02977,0.04582,0.00490
0.59539,0.14694,0.22855,0.02912
0.93677,0.02178,0.03798,0.00348
0.09807,0.22190,0.62833,0.05170
